numer#,denom#,Õ·×ªÏà³ý·¨
1,1,7.49992E-10
1,2,1.03894E-09
1,3,1.03499E-09
1,4,1.03578E-09
1,5,9.18938E-10
1,6,9.25254E-10
1,7,9.18938E-10
1,8,9.1578E-10
1,9,9.20517E-10
1,10,9.26043E-10
1,11,9.3078E-10
1,12,9.3078E-10
1,13,9.34727E-10
1,14,9.90779E-10
1,15,9.33148E-10
1,16,9.29201E-10
1,17,9.25254E-10
1,18,9.22885E-10
1,19,9.25254E-10
1,20,9.29201E-10
1,21,8.39991E-10
1,22,8.44728E-10
1,23,8.43149E-10
1,24,8.51833E-10
1,25,8.43149E-10
1,26,8.44728E-10
1,27,8.39202E-10
1,28,8.39202E-10
1,29,8.36044E-10
1,30,8.39202E-10
1,31,8.40781E-10
1,32,8.37623E-10
1,33,8.37623E-10
1,34,8.40781E-10
1,35,8.49465E-10
1,36,8.49465E-10
1,37,8.50255E-10
1,38,8.48676E-10
1,39,8.48676E-10
1,40,8.43149E-10
1,41,8.43939E-10
1,42,8.4236E-10
1,43,8.55781E-10
1,44,8.73149E-10
1,45,8.40781E-10
1,46,8.39202E-10
1,47,8.35255E-10
1,48,8.39202E-10
1,49,8.39991E-10
1,50,8.44728E-10
1,51,7.87887E-10
1,52,7.88676E-10
1,53,7.8236E-10
1,54,7.84729E-10
1,55,7.91045E-10
1,56,7.89466E-10
1,57,7.88676E-10
1,58,7.95781E-10
1,59,7.9815E-10
1,60,7.99729E-10
1,61,7.94202E-10
1,62,7.94202E-10
1,63,7.92624E-10
1,64,7.94202E-10
1,65,7.89466E-10
1,66,7.9736E-10
1,67,7.96571E-10
1,68,7.90255E-10
1,69,7.90255E-10
1,70,7.90255E-10
1,71,7.84729E-10
1,72,7.86308E-10
1,73,7.83939E-10
1,74,7.83939E-10
1,75,7.84729E-10
1,76,7.84729E-10
1,77,7.84729E-10
1,78,7.88676E-10
1,79,7.86308E-10
1,80,7.88676E-10
1,81,7.94992E-10
1,82,7.89466E-10
1,83,7.87097E-10
1,84,7.87887E-10
1,85,7.87097E-10
1,86,7.86308E-10
1,87,7.86308E-10
1,88,7.90255E-10
1,89,7.89466E-10
1,90,7.9815E-10
1,91,7.87887E-10
1,92,7.89466E-10
1,93,7.89466E-10
1,94,7.89466E-10
1,95,7.89466E-10
1,96,7.91834E-10
1,97,7.91834E-10
1,98,7.77624E-10
1,99,7.79992E-10
1,100,7.77624E-10
2,1,6.96309E-10
2,2,5.73152E-10
2,3,9.07096E-10
2,4,7.89466E-10
2,5,9.09464E-10
2,6,7.88676E-10
2,7,9.10254E-10
2,8,7.89466E-10
2,9,9.12622E-10
2,10,9.12622E-10
2,11,7.94202E-10
2,12,7.94992E-10
2,13,9.17359E-10
2,14,8.45518E-10
2,15,9.17359E-10
2,16,9.18938E-10
2,17,9.18149E-10
2,18,7.9736E-10
2,19,7.92624E-10
2,20,9.14201E-10
2,21,7.91834E-10
2,22,7.90255E-10
2,23,9.0078E-10
2,24,8.99991E-10
2,25,7.81571E-10
2,26,9.0078E-10
2,27,7.79992E-10
2,28,9.0157E-10
2,29,7.81571E-10
2,30,9.0078E-10
2,31,7.8315E-10
2,32,9.02359E-10
2,33,8.97622E-10
2,34,7.76834E-10
2,35,8.92096E-10
2,36,7.79203E-10
2,37,7.77624E-10
2,38,7.8236E-10
2,39,9.02359E-10
2,40,9.07886E-10
2,41,9.07096E-10
2,42,7.87097E-10
2,43,9.07886E-10
2,44,8.1236E-10
2,45,8.98412E-10
2,46,7.96571E-10
2,47,8.39202E-10
2,48,8.39991E-10
2,49,9.65517E-10
2,50,7.99729E-10
2,51,9.11833E-10
2,52,9.1578E-10
2,53,7.88676E-10
2,54,9.07096E-10
2,55,9.09464E-10
2,56,9.1578E-10
2,57,9.08675E-10
2,58,7.99729E-10
2,59,7.95781E-10
2,60,9.14201E-10
2,61,7.99729E-10
2,62,9.17359E-10
2,63,7.84729E-10
2,64,9.03149E-10
2,65,7.89466E-10
2,66,9.03149E-10
2,67,7.78413E-10
2,68,7.81571E-10
2,69,8.98412E-10
2,70,7.91045E-10
2,71,9.08675E-10
2,72,9.08675E-10
2,73,7.93413E-10
2,74,8.00518E-10
2,75,7.96571E-10
2,76,9.1578E-10
2,77,9.19728E-10
2,78,7.99729E-10
2,79,9.12622E-10
2,80,7.90255E-10
2,81,9.08675E-10
2,82,7.90255E-10
2,83,9.03149E-10
2,84,7.89466E-10
