numer,denom,倒数分解法
2,3,2
3,5,3
5,7,3
7,11,4
11,13,3
13,17,3
17,19,3
19,23,4
23,29,4
29,31,3
31,37,3
37,41,3
41,43,3
43,47,4
47,53,4
53,59,4
59,61,3
61,67,3
67,71,4
71,73,3
73,79,3
79,83,4
83,89,4
89,97,3
97,101,3
101,103,3
103,107,4
107,109,3
109,113,3
113,127,3
127,131,4
131,137,4
137,139,3
139,149,4
149,151,3
151,157,3
157,163,3
163,167,4
167,173,4
173,179,4
179,181,3
181,191,3
191,193,3
193,197,3
197,199,3
199,211,6
211,223,6
223,227,4
227,229,3
229,233,3
233,239,4
239,241,3
241,251,3
251,257,4
257,263,4
263,269,4
269,271,3
271,277,3
277,281,3
281,283,3
283,293,4
293,307,4
307,311,4
311,313,3
313,317,3
317,331,6
331,337,3
337,347,5
347,349,3
349,353,3
353,359,4
359,367,4
367,373,3
373,379,3
379,383,4
383,389,4
389,397,6
397,401,3
401,409,3
409,419,4
419,421,3
421,431,3
431,433,3
433,439,3
439,443,4
443,449,4
449,457,3
457,461,3
461,463,3
463,467,4
467,479,4
479,487,4
487,491,4
491,499,5
499,503,4
503,509,4
509,521,5
521,523,3
523,541,3
541,547,3
547,557,5
557,563,4
563,569,4
569,571,3
571,577,3
577,587,5
587,593,4
593,599,4
599,601,3
601,607,3
607,613,3
613,617,3
617,619,3
619,631,6
631,641,3
641,643,3
643,647,4
647,653,4
653,659,4
659,661,3
661,673,3
673,677,3
677,683,4
683,691,5
691,701,3
701,709,6
709,719,4
719,727,4
727,733,3
733,739,3
739,743,4
743,751,4
751,757,3
757,761,3
761,769,3
769,773,3
773,787,5
787,797,5
797,809,5
809,811,3
811,821,3
821,823,3
823,827,4
827,829,3
829,839,4
839,853,4
853,857,3
857,859,3
859,863,4
863,877,6
877,881,3
881,883,3
883,887,4
887,907,5
907,911,4
911,919,4
919,929,4
929,937,3
937,941,3
941,947,4
947,953,4
953,967,3
967,971,4
971,977,4
977,983,4
983,991,4
991,997,3
997,1009,3
1009,1013,3
1013,1019,4
1019,1021,3
1021,1031,3
1031,1033,3
1033,1039,3
1039,1049,4
1049,1051,3
1051,1061,3
1061,1063,3
1063,1069,3
1069,1087,6
1087,1091,4
1091,1093,3
1093,1097,3
1097,1103,4
1103,1109,4
1109,1117,6
1117,1123,3
1123,1129,3
1129,1151,4
1151,1153,3
1153,1163,4
1163,1171,5
1171,1181,3
1181,1187,4
1187,1193,4
1193,1201,3
1201,1213,3
1213,1217,3
1217,1223,4
1223,1229,4
1229,1231,3
1231,1237,3
1237,1249,3
1249,1259,4
1259,1277,4
1277,1279,3
1279,1283,4
1283,1289,4
1289,1291,3
1291,1297,3
1297,1301,3
1301,1303,3
1303,1307,4
1307,1319,4
1319,1321,3
1321,1327,3
1327,1361,3
1361,1367,4
1367,1373,4
1373,1381,6
1381,1399,7
1399,1409,4
1409,1423,6
1423,1427,4
1427,1429,3
1429,1433,3
1433,1439,4
1439,1447,4
1447,1451,4
1451,1453,3
1453,1459,3
1459,1471,6
1471,1481,3
1481,1483,3
1483,1487,4
1487,1489,3
1489,1493,3
1493,1499,4
1499,1511,4
1511,1523,4
1523,1531,5
1531,1543,6
1543,1549,3
1549,1553,3
1553,1559,4
1559,1567,4
1567,1571,4
1571,1579,5
1579,1583,4
1583,1597,3
1597,1601,3
1601,1607,4
1607,1609,3
1609,1613,3
1613,1619,4
1619,1621,3
1621,1627,3
1627,1637,5
1637,1657,6
1657,1663,3
1663,1667,4
1667,1669,3
1669,1693,6
1693,1697,3
1697,1699,3
1699,1709,4
1709,1721,5
1721,1723,3
1723,1733,4
1733,1741,6
1741,1747,3
1747,1753,3
1753,1759,3
1759,1777,7
1777,1783,3
1783,1787,4
1787,1789,3
1789,1801,3
1801,1811,3
1811,1823,4
1823,1831,4
1831,1847,5
1847,1861,4
1861,1867,3
1867,1871,4
1871,1873,3
1873,1877,3
1877,1879,3
1879,1889,4
1889,1901,5
1901,1907,4
1907,1913,4
1913,1931,6
1931,1933,3
1933,1949,5
1949,1951,3
1951,1973,5
1973,1979,4
1979,1987,5
1987,1993,3
1993,1997,3
1997,1999,3
1999,2003,4
2003,2011,5
2011,2017,3
2017,2027,5
2027,2029,3
2029,2039,4
2039,2053,6
2053,2063,4
2063,2069,4
2069,2081,5
2081,2083,3
2083,2087,4
2087,2089,3
2089,2099,4
2099,2111,4
2111,2113,3
2113,2129,3
2129,2131,3
2131,2137,3
2137,2141,3
2141,2143,3
2143,2153,4
2153,2161,3
2161,2179,3
2179,2203,6
2203,2207,4
2207,2213,4
2213,2221,6
2221,2237,5
2237,2239,3
2239,2243,4
2243,2251,5
2251,2267,5
2267,2269,3
2269,2273,3
2273,2281,3
2281,2287,3
2287,2293,3
2293,2297,3
2297,2309,5
2309,2311,3
2311,2333,3
2333,2339,4
2339,2341,3
2341,2347,3
2347,2351,4
2351,2357,4
2357,2371,5
2371,2377,3
2377,2381,3
2381,2383,3
2383,2389,3
2389,2393,3
2393,2399,4
2399,2411,4
2411,2417,4
2417,2423,4
2423,2437,3
2437,2441,3
2441,2447,4
2447,2459,4
2459,2467,5
2467,2473,3
2473,2477,3
2477,2503,6
2503,2521,3
2521,2531,3
2531,2539,5
2539,2543,4
2543,2549,4
2549,2551,3
2551,2557,3
2557,2579,5
2579,2591,4
2591,2593,3
2593,2609,3
2609,2617,3
2617,2621,3
2621,2633,5
2633,2647,3
2647,2657,5
2657,2659,3
2659,2663,4
2663,2671,4
2671,2677,3
2677,2683,3
2683,2687,4
2687,2689,3
2689,2693,3
2693,2699,4
2699,2707,5
2707,2711,4
2711,2713,3
2713,2719,3
2719,2729,4
2729,2731,3
2731,2741,3
2741,2749,6
