numer,denom,倒数分解法
10,10000000,1
20,20000000,1
30,30000000,1
40,40000000,1
50,50000000,1
60,60000000,1
70,70000000,1
80,80000000,1
90,90000000,1
100,100000000,1
110,110000000,1
120,120000000,1
130,130000000,1
140,140000000,1
150,150000000,1
160,160000000,1
170,170000000,1
180,180000000,1
190,190000000,1
200,200000000,1
210,210000000,1
220,220000000,1
230,230000000,1
240,240000000,1
250,250000000,1
260,260000000,1
270,270000000,1
280,280000000,1
290,290000000,1
300,300000000,1
310,310000000,1
320,320000000,1
330,330000000,1
340,340000000,1
350,350000000,1
360,360000000,1
370,370000000,1
380,380000000,1
390,390000000,1
400,400000000,1
410,410000000,1
420,420000000,1
430,430000000,1
440,440000000,1
450,450000000,1
460,460000000,1
470,470000000,1
480,480000000,1
490,490000000,1
500,500000000,1
510,510000000,1
520,520000000,1
530,530000000,1
540,540000000,1
550,550000000,1
560,560000000,1
570,570000000,1
580,580000000,1
590,590000000,1
600,600000000,1
610,610000000,1
620,620000000,1
630,630000000,1
640,640000000,1
650,650000000,1
660,660000000,1
670,670000000,1
680,680000000,1
690,690000000,1
700,700000000,1
710,710000000,1
720,720000000,1
730,730000000,1
740,740000000,1
750,750000000,1
760,760000000,1
770,770000000,1
780,780000000,1
790,790000000,1
800,800000000,1
810,810000000,1
820,820000000,1
830,830000000,1
840,840000000,1
850,850000000,1
860,860000000,1
870,870000000,1
880,880000000,1
890,890000000,1
900,900000000,1
910,910000000,1
920,920000000,1
930,930000000,1
940,940000000,1
950,950000000,1
960,960000000,1
970,970000000,1
980,980000000,1
990,990000000,1
1000,1000000000,1
