numer,denom,倒数分解法
9261000,408410100000,1
1944810000,85766121000000,1
408410100000,18010885410000000,1
85766121000000,3782285936100000000,1
18010885410000000,794280046581000000000,1
3782285936100000000,166798809782010000000000,1
794280046581000000000,35027750054222100000000000,1
166798809782010000000000,7355827511386641000000000000,1
35027750054222100000000000,1544723777391194610000000000000,1
7355827511386641000000000000,324391993252150868100000000000000,1
1544723777391194610000000000000,68122318582951682301000000000000000,1
324391993252150868100000000000000,14305686902419853283210000000000000000,1
68122318582951682301000000000000000,3004194249508169189474100000000000000000,1
14305686902419853283210000000000000000,630880792396715529789561000000000000000000,1
3004194249508169189474100000000000000000,132484966403310261255807810000000000000000000,1
630880792396715529789561000000000000000000,27821842944695154863719640100000000000000000000,1
132484966403310261255807810000000000000000000,5842587018385982521381124421000000000000000000000,1
27821842944695154863719640100000000000000000000,1226943273861056329490036128410000000000000000000000,1
5842587018385982521381124421000000000000000000000,257658087510821829192907586966100000000000000000000000,1
1226943273861056329490036128410000000000000000000000,54108198377272584130510593262881000000000000000000000000,1
257658087510821829192907586966100000000000000000000000,11362721659227242667407224585205010000000000000000000000000,1
54108198377272584130510593262881000000000000000000000000,2386171548437720960155517162893052100000000000000000000000000,1
11362721659227242667407224585205010000000000000000000000000,501096025171921401632658604207540941000000000000000000000000000,1
2386171548437720960155517162893052100000000000000000000000000,105230165286103494342858306883583597610000000000000000000000000000,1
501096025171921401632658604207540941000000000000000000000000000,22098334710081733812000244445552555498100000000000000000000000000000,1
105230165286103494342858306883583597610000000000000000000000000000,4640650289117164100520051333566036654601000000000000000000000000000000,1
22098334710081733812000244445552555498100000000000000000000000000000,974536560714604461109210780048867697466210000000000000000000000000000000,1
4640650289117164100520051333566036654601000000000000000000000000000000,204652677750066936832934263810262216467904100000000000000000000000000000000,1
974536560714604461109210780048867697466210000000000000000000000000000000,42977062327514056734916195400155065458259861000000000000000000000000000000000,1
204652677750066936832934263810262216467904100000000000000000000000000000000,9025183088777951914332401034032563746234570810000000000000000000000000000000000,1
42977062327514056734916195400155065458259861000000000000000000000000000000000,1895288448643369902009804217146838386709259870100000000000000000000000000000000000,1
9025183088777951914332401034032563746234570810000000000000000000000000000000000,398010574215107679422058885600836061208944572721000000000000000000000000000000000000,1
1895288448643369902009804217146838386709259870100000000000000000000000000000000000,83582220585172612678632365976175572853878360271410000000000000000000000000000000000000,1
398010574215107679422058885600836061208944572721000000000000000000000000000000000000,17552266322886248662512796854996870299314455656996100000000000000000000000000000000000000,1
83582220585172612678632365976175572853878360271410000000000000000000000000000000000000,3685975927806112219127687339549342762856035687969181000000000000000000000000000000000000000,1
17552266322886248662512796854996870299314455656996100000000000000000000000000000000000000,774054944839283566016814341305361980199767494473528010000000000000000000000000000000000000000,1
3685975927806112219127687339549342762856035687969181000000000000000000000000000000000000000,162551538416249548863531011674126015841951173839440882100000000000000000000000000000000000000000,1
774054944839283566016814341305361980199767494473528010000000000000000000000000000000000000000,34135823067412405261341512451566463326809746506282585241000000000000000000000000000000000000000000,1
