numer,denom,¸üÏà¼õËðÊõ
2,3,2
3,5,3
5,7,4
7,11,5
11,13,7
13,17,7
17,19,10
19,23,8
23,29,9
29,31,16
31,37,11
37,41,13
41,43,22
43,47,14
47,53,13
53,59,14
59,61,31
61,67,16
67,71,20
71,73,37
73,79,18
79,83,23
83,89,19
89,97,19
97,101,28
101,103,52
103,107,29
107,109,55
109,113,31
113,127,22
127,131,35
131,137,27
137,139,70
139,149,23
149,151,76
151,157,31
157,163,32
163,167,44
167,173,33
173,179,34
179,181,91
181,191,28
191,193,97
193,197,52
197,199,100
199,211,22
211,223,23
223,227,59
227,229,115
229,233,61
233,239,44
239,241,121
241,251,34
251,257,47
257,263,48
263,269,49
269,271,136
271,277,51
277,281,73
281,283,142
283,293,34
293,307,34
307,311,80
311,313,157
313,317,82
317,331,29
331,337,61
337,347,39
347,349,175
349,353,91
353,359,64
359,367,52
367,373,67
373,379,68
379,383,98
383,389,69
389,397,53
397,401,103
401,409,58
409,419,50
419,421,211
421,431,52
431,433,217
433,439,78
439,443,113
443,449,79
449,457,64
457,461,118
461,463,232
463,467,119
467,479,50
479,487,67
487,491,125
491,499,66
499,503,128
503,509,89
509,521,48
521,523,262
523,541,47
541,547,96
547,557,60
557,563,98
563,569,99
569,571,286
571,577,101
577,587,63
587,593,103
593,599,104
599,601,301
601,607,106
607,613,107
613,617,157
617,619,310
619,631,57
631,641,73
641,643,322
643,647,164
647,653,113
653,659,114
659,661,331
661,673,67
673,677,172
677,683,118
683,691,90
691,701,79
701,709,92
709,719,80
719,727,97
727,733,127
733,739,128
739,743,188
743,751,100
751,757,131
757,761,193
761,769,103
769,773,196
773,787,62
787,797,84
797,809,72
809,811,406
811,821,91
821,823,412
823,827,209
827,829,415
829,839,92
839,853,73
853,857,217
857,859,430
859,863,218
863,877,68
877,881,223
881,883,442
883,887,224
887,907,53
907,911,230
911,919,121
919,929,101
929,937,124
937,941,238
941,947,162
947,953,163
953,967,82
967,971,245
971,977,167
977,983,168
983,991,130
991,997,171
997,1009,95
1009,1013,256
1013,1019,174
1019,1021,511
1021,1031,112
1031,1033,517
1033,1039,178
1039,1049,113
1049,1051,526
1051,1061,115
1061,1063,532
1063,1069,183
1069,1087,66
1087,1091,275
1091,1093,547
1093,1097,277
1097,1103,188
1103,1109,189
1109,1117,143
1117,1123,192
1123,1129,193
1129,1151,61
1151,1153,577
1153,1163,121
1163,1171,150
1171,1181,127
1181,1187,202
1187,1193,203
1193,1201,157
1201,1213,112
1213,1217,307
1217,1223,208
1223,1229,209
1229,1231,616
1231,1237,211
1237,1249,115
1249,1259,134
1259,1277,87
1277,1279,640
1279,1283,323
1283,1289,219
1289,1291,646
1291,1297,221
1297,1301,328
1301,1303,652
1303,1307,329
1307,1319,120
1319,1321,661
1321,1327,226
1327,1361,73
1361,1367,232
1367,1373,233
1373,1381,176
1381,1399,83
1399,1409,149
1409,1423,107
1423,1427,359
1427,1429,715
1429,1433,361
1433,1439,244
1439,1447,187
1447,1451,365
1451,1453,727
1453,1459,248
1459,1471,127
1471,1481,157
1481,1483,742
1483,1487,374
1487,1489,745
1489,1493,376
1493,1499,254
1499,1511,136
1511,1523,137
1523,1531,195
1531,1543,133
1543,1549,263
1549,1553,391
1553,1559,264
1559,1567,202
1567,1571,395
1571,1579,201
1579,1583,398
1583,1597,127
1597,1601,403
1601,1607,272
1607,1609,805
1609,1613,406
1613,1619,274
1619,1621,811
1621,1627,276
1627,1637,168
1637,1657,90
1657,1663,282
1663,1667,419
1667,1669,835
1669,1693,78
1693,1697,427
1697,1699,850
1699,1709,179
1709,1721,148
1721,1723,862
1723,1733,178
1733,1741,221
1741,1747,296
1747,1753,297
1753,1759,298
1759,1777,104
1777,1783,302
1783,1787,449
1787,1789,895
1789,1801,161
1801,1811,190
1811,1823,162
1823,1831,235
1831,1847,121
1847,1861,145
1861,1867,316
1867,1871,470
1871,1873,937
1873,1877,472
1877,1879,940
1879,1889,197
1889,1901,163
1901,1907,322
1907,1913,323
1913,1931,113
1931,1933,967
1933,1949,128
1949,1951,976
1951,1973,98
1973,1979,334
1979,1987,252
1987,1993,337
1993,1997,502
1997,1999,1000
1999,2003,503
2003,2011,255
2011,2017,341
2017,2027,207
2027,2029,1015
2029,2039,212
2039,2053,152
2053,2063,211
2063,2069,349
2069,2081,178
2081,2083,1042
2083,2087,524
2087,2089,1045
2089,2099,218
2099,2111,186
2111,2113,1057
2113,2129,148
2129,2131,1066
2131,2137,361
2137,2141,538
2141,2143,1072
2143,2153,220
2153,2161,277
2161,2179,138
2179,2203,99
2203,2207,554
2207,2213,373
2213,2221,281
2221,2237,146
2237,2239,1120
2239,2243,563
2243,2251,285
2251,2267,148
2267,2269,1135
2269,2273,571
2273,2281,292
2281,2287,386
2287,2293,387
2293,2297,577
2297,2309,197
2309,2311,1156
2311,2333,127
2333,2339,394
2339,2341,1171
2341,2347,396
2347,2351,590
2351,2357,397
2357,2371,175
2371,2377,401
2377,2381,598
2381,2383,1192
2383,2389,403
2389,2393,601
2393,2399,404
2399,2411,211
2411,2417,407
2417,2423,408
2423,2437,187
2437,2441,613
2441,2447,412
2447,2459,215
2459,2467,312
2467,2473,417
2473,2477,622
2477,2503,103
2503,2521,157
2521,2531,262
2531,2539,321
2539,2543,638
2543,2549,429
2549,2551,1276
2551,2557,431
2557,2579,124
2579,2591,226
2591,2593,1297
2593,2609,178
2609,2617,334
2617,2621,658
2621,2633,224
2633,2647,202
2647,2657,270
2657,2659,1330
2659,2663,668
2663,2671,340
2671,2677,451
2677,2683,452
2683,2687,674
2687,2689,1345
2689,2693,676
2693,2699,454
2699,2707,342
2707,2711,680
2711,2713,1357
2713,2719,458
2719,2729,281
2729,2731,1366
2731,2741,283
2741,2749,347
2749,2753,691
2753,2767,203
2767,2777,282
2777,2789,237
2789,2791,1396
2791,2797,471
2797,2801,703
2801,2803,1402
2803,2819,183
2819,2833,208
2833,2837,712
2837,2843,478
2843,2851,360
2851,2857,481
2857,2861,718
2861,2879,176
2879,2887,367
2887,2897,294
2897,2903,488
2903,2909,489
2909,2917,368
2917,2927,297
2927,2939,255
2939,2953,223
2953,2957,742
2957,2963,498
2963,2969,499
2969,2971,1486
2971,2999,118
2999,3001,1501
3001,3011,310
3011,3019,381
3019,3023,758
3023,3037,229
3037,3041,763
3041,3049,388
3049,3061,266
3061,3067,516
3067,3079,261
3079,3083,773
3083,3089,519
3089,3109,162
3109,3119,320
3119,3121,1561
3121,3137,211
3137,3163,131
3163,3167,794
3167,3169,1585
3169,3181,276
3181,3187,536
3187,3191,800
3191,3203,277
3203,3209,539
3209,3217,409
3217,3221,808
3221,3229,407
3229,3251,154
3251,3253,1627
3253,3257,817
3257,3259,1630
3259,3271,277
3271,3299,125
3299,3301,1651
3301,3307,556
3307,3313,557
3313,3319,558
3319,3323,833
3323,3329,559
3329,3331,1666
3331,3343,283
3343,3347,839
3347,3359,290
3359,3361,1681
3361,3371,346
3371,3373,1687
3373,3389,218
3389,3391,1696
3391,3407,227
3407,3413,573
3413,3433,179
3433,3449,221
3449,3457,439
3457,3461,868
3461,3463,1732
3463,3467,869
3467,3469,1735
3469,3491,167
3491,3499,441
3499,3511,297
3511,3517,591
3517,3527,357
3527,3529,1765
3529,3533,886
3533,3539,594
3539,3541,1771
3541,3547,596
3547,3557,360
3557,3559,1780
3559,3571,302
3571,3581,367
3581,3583,1792
3583,3593,364
3593,3607,263
3607,3613,607
3613,3617,907
3617,3623,608
3623,3631,460
3631,3637,611
3637,3643,612
3643,3659,235
3659,3671,316
3671,3673,1837
3673,3677,922
3677,3691,269
3691,3697,621
3697,3701,928
3701,3709,467
3709,3719,380
3719,3727,472
3727,3733,627
3733,3739,628
3739,3761,191
3761,3767,632
3767,3769,1885
3769,3779,386
3779,3793,283
3793,3797,952
3797,3803,638
3803,3821,218
3821,3823,1912
3823,3833,388
3833,3847,280
3847,3851,965
3851,3853,1927
3853,3863,391
3863,3877,289
3877,3881,973
3881,3889,493
3889,3907,234
3907,3911,980
3911,3917,657
3917,3919,1960
3919,3923,983
3923,3929,659
3929,3931,1966
3931,3943,333
3943,3947,989
3947,3967,206
3967,3989,190
3989,4001,338
4001,4003,2002
4003,4007,1004
4007,4013,673
4013,4019,674
4019,4021,2011
4021,4027,676
4027,4049,205
4049,4051,2026
4051,4057,681
4057,4073,260
4073,4079,684
4079,4091,351
4091,4093,2047
4093,4099,688
4099,4111,347
4111,4127,272
4127,4129,2065
4129,4133,1036
4133,4139,694
4139,4153,302
4153,4157,1042
4157,4159,2080
4159,4177,249
4177,4201,198
4201,4211,430
4211,4217,707
4217,4219,2110
4219,4229,431
4229,4231,2116
4231,4241,433
4241,4243,2122
4243,4253,430
4253,4259,714
4259,4261,2131
4261,4271,436
4271,4273,2137
4273,4283,433
4283,4289,719
4289,4297,544
4297,4327,152
4327,4337,438
4337,4339,2170
4339,4349,443
4349,4357,548
4357,4363,732
4363,4373,442
4373,4391,260
4391,4397,737
4397,4409,372
4409,4421,373
4421,4423,2212
4423,4441,252
4441,4447,746
4447,4451,1115
4451,4457,747
4457,4463,748
4463,4481,265
4481,4483,2242
4483,4493,454
4493,4507,334
4507,4513,757
4513,4517,1132
4517,4519,2260
4519,4523,1133
4523,4547,197
4547,4549,2275
4549,4561,391
4561,4567,766
4567,4583,292
4583,4591,580
4591,4597,771
4597,4603,772
4603,4621,262
4621,4637,296
4637,4639,2320
4639,4643,1163
4643,4649,779
4649,4651,2326
4651,4657,781
4657,4663,782
4663,4673,472
4673,4679,784
4679,4691,401
4691,4703,402
4703,4721,268
4721,4723,2362
4723,4729,793
4729,4733,1186
4733,4751,280
4751,4759,601
4759,4783,206
4783,4787,1199
4787,4789,2395
4789,4793,1201
4793,4799,804
4799,4801,2401
4801,4813,412
4813,4817,1207
4817,4831,358
4831,4861,191
4861,4871,496
4871,4877,817
4877,4889,412
4889,4903,356
4903,4909,823
4909,4919,500
4919,4931,421
4931,4933,2467
4933,4937,1237
4937,4943,828
4943,4951,625
4951,4957,831
4957,4967,501
4967,4969,2485
4969,4973,1246
4973,4987,362
4987,4993,837
4993,4999,838
4999,5003,1253
5003,5009,839
5009,5011,2506
5011,5021,511
5021,5023,2512
5023,5039,329
5039,5051,431
5051,5059,636
5059,5077,299
5077,5081,1273
5081,5087,852
5087,5099,435
5099,5101,2551
5101,5107,856
5107,5113,857
5113,5119,858
5119,5147,191
5147,5153,863
5153,5167,382
5167,5171,1295
5171,5179,651
5179,5189,527
5189,5197,653
5197,5209,445
5209,5227,296
5227,5231,1310
5231,5233,2617
5233,5237,1312
5237,5261,227
5261,5273,444
5273,5279,884
5279,5281,2641
5281,5297,346
5297,5303,888
5303,5309,889
5309,5323,386
5323,5333,538
5333,5347,394
5347,5351,1340
5351,5381,186
5381,5387,902
5387,5393,903
5393,5399,904
5399,5407,682
5407,5413,907
5413,5417,1357
5417,5419,2710
5419,5431,457
5431,5437,911
5437,5441,1363
5441,5443,2722
5443,5449,913
5449,5471,257
5471,5477,917
5477,5479,2740
5479,5483,1373
5483,5501,311
5501,5503,2752
5503,5507,1379
5507,5519,470
5519,5521,2761
5521,5527,926
5527,5531,1385
5531,5557,220
5557,5563,932
5563,5569,933
5569,5573,1396
5573,5581,701
5581,5591,568
5591,5623,183
5623,5639,358
5639,5641,2821
5641,5647,946
5647,5651,1415
5651,5653,2827
5653,5657,1417
5657,5659,2830
5659,5669,575
5669,5683,418
5683,5689,953
5689,5693,1426
5693,5701,716
5701,5711,580
5711,5717,957
5717,5737,294
5737,5741,1438
5741,5743,2872
5743,5749,963
5749,5779,199
5779,5783,1448
5783,5791,730
5791,5801,589
5801,5807,972
5807,5813,973
5813,5821,731
5821,5827,976
5827,5839,491
5839,5843,1463
5843,5849,979
5849,5851,2926
5851,5857,981
5857,5861,1468
5861,5867,982
5867,5869,2935
5869,5879,596
5879,5881,2941
5881,5897,374
5897,5903,988
5903,5923,304
5923,5927,1484
5927,5939,505
5939,5953,431
5953,5981,221
5981,5987,1002
5987,6007,308
6007,6011,1505
6011,6029,351
6029,6037,758
6037,6043,1012
6043,6047,1514
6047,6053,1013
6053,6067,439
6067,6073,1017
6073,6079,1018
6079,6089,617
6089,6091,3046
6091,6101,619
6101,6113,514
6113,6121,772
6121,6131,622
6131,6133,3067
6133,6143,619
6143,6151,775
6151,6163,518
6163,6173,622
6173,6197,266
6197,6199,3100
6199,6203,1553
6203,6211,780
6211,6217,1041
6217,6221,1558
6221,6229,782
6229,6247,364
6247,6257,630
